time,Solar8000/CVP,Solar8000/ART_MBP,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_SBP,Solar8000/PLETH_HR,SNUADC/CVP,Solar8000/PLETH_SPO2,SNUADC/ART,Solar8000/ART_DBP,Solar8000/ETCO2
0,,,NaN,NaN,,,,,NaN,,NaN,,
1,,,-4.9562602043151855,-4.9562602043151855,,,,,-495.6260070800781,,-499.346923828125,,
2,,,-4.956240177154541,-4.956240177154541,,,,,-495.6240234375,,-499.344970703125,,
3,-11,-5,NaN,NaN,,81,-5,82,NaN,97,NaN,-5,
4,,,NaN,NaN,,,,,NaN,,NaN,,
5,-11,-4,NaN,NaN,,82,-4,82,NaN,97,NaN,-4,
6,,,NaN,NaN,,,,,NaN,,NaN,,
7,-11,-4,NaN,NaN,,82,-4,83,NaN,97,NaN,-4,
8,,,NaN,NaN,,,,,NaN,,NaN,,
9,-11,-3,NaN,NaN,,82,-3,85,NaN,97,NaN,-3,
10,,,NaN,NaN,,,,,NaN,,NaN,,
11,-11,-3,NaN,NaN,,87,-3,88,NaN,97,NaN,-3,
12,,,NaN,NaN,,,,,NaN,,NaN,,
13,-12,-4,NaN,NaN,,88,-4,88,NaN,97,NaN,-4,
14,,,NaN,NaN,,,,,NaN,,NaN,,
15,-12,-4,NaN,NaN,,88,-4,89,NaN,96,NaN,-4,
16,,,NaN,NaN,,,,,NaN,,NaN,,
17,-12,-4,NaN,NaN,,88,-4,89,NaN,97,NaN,-4,
18,,,NaN,NaN,,,,,NaN,,NaN,,
19,-12,-4,NaN,NaN,,89,-4,90,NaN,97,NaN,-4,
20,,,NaN,NaN,,,,,NaN,,NaN,,
21,-12,-4,NaN,NaN,,88,-4,90,NaN,97,NaN,-4,
22,,,NaN,NaN,,,,,NaN,,NaN,,
23,-11,-4,NaN,NaN,,86,-4,88,NaN,97,NaN,-4,
24,,,NaN,NaN,,,,,NaN,,NaN,,
25,-11,-4,NaN,NaN,,84,-4,87,NaN,97,NaN,-4,
26,,,NaN,NaN,,,,,NaN,,NaN,,
27,-11,-4,NaN,NaN,,84,-4,86,NaN,98,NaN,-4,
28,,,NaN,NaN,,,,,NaN,,NaN,,
29,-11,-4,NaN,NaN,,86,-4,85,NaN,97,NaN,-4,
30,,,NaN,NaN,,,,,NaN,,NaN,,
31,-11,-4,NaN,NaN,,88,-4,86,NaN,97,NaN,-4,
32,,,NaN,NaN,,,,,NaN,,NaN,,
33,-11,-4,NaN,NaN,,88,-4,87,NaN,97,NaN,-4,
34,,,NaN,NaN,,,,,NaN,,NaN,,
35,-11,-4,NaN,NaN,,86,-4,89,NaN,98,NaN,-4,
36,,,NaN,NaN,,,,,NaN,,NaN,,
37,-11,-4,NaN,NaN,,84,-4,87,NaN,98,NaN,-4,
38,,,NaN,NaN,,,,,NaN,,NaN,,
39,-12,-4,NaN,NaN,,84,-4,85,NaN,97,NaN,-4,
40,,,NaN,NaN,,,,,NaN,,NaN,,
41,-12,-4,NaN,NaN,,82,-4,84,NaN,97,NaN,-4,
42,,,NaN,NaN,,,,,NaN,,NaN,,
43,-11,-4,NaN,NaN,,81,-4,82,NaN,98,NaN,-4,
44,,,NaN,NaN,,,,,NaN,,NaN,,
45,-11,-5,NaN,NaN,,81,-5,82,NaN,98,NaN,-5,
46,,,NaN,NaN,,,,,NaN,,NaN,,
47,-11,-5,NaN,NaN,,84,-5,82,NaN,98,NaN,-5,
48,,,NaN,NaN,,,,,NaN,,NaN,,
49,-10,-5,NaN,NaN,,85,-5,83,NaN,98,NaN,-5,
50,,,NaN,NaN,,,,,NaN,,NaN,,
51,-10,-5,NaN,NaN,,87,-5,84,NaN,98,NaN,-5,
52,,,NaN,NaN,,,,,NaN,,NaN,,
53,-11,-4,NaN,NaN,,85,-4,86,NaN,98,NaN,-4,
54,,,NaN,NaN,,,,,NaN,,NaN,,
55,-11,-4,NaN,NaN,,86,-4,87,NaN,97,NaN,-4,
56,,,NaN,NaN,,,,,NaN,,NaN,,
57,-11,-4,NaN,NaN,,84,-4,86,NaN,97,NaN,-4,
58,,,NaN,NaN,,,,,NaN,,NaN,,
59,-11,-4,NaN,NaN,,85,-4,85,NaN,97,NaN,-4,
60,,,NaN,NaN,,,,,NaN,,NaN,,
61,-12,-3,NaN,NaN,,87,-3,85,NaN,97,NaN,-3,
62,,,NaN,NaN,,,,,NaN,,NaN,,
63,-12,-3,NaN,NaN,,87,-3,86,NaN,97,NaN,-3,
64,,,NaN,NaN,,,,,NaN,,NaN,,
65,-11,-4,NaN,NaN,,87,-4,88,NaN,98,NaN,-4,
66,,,NaN,NaN,,,,,NaN,,NaN,,
67,-11,-4,NaN,NaN,,88,-4,88,NaN,98,NaN,-4,
68,,,NaN,NaN,,,,,NaN,,NaN,,
69,-11,-4,NaN,NaN,,87,-4,88,NaN,98,NaN,-4,
70,,,NaN,NaN,,,,,NaN,,NaN,,
71,-11,-4,NaN,NaN,,85,-4,88,NaN,98,NaN,-4,
72,,,NaN,NaN,,,,,NaN,,NaN,,
73,-11,-4,NaN,NaN,,84,-4,86,NaN,98,NaN,-4,
74,,,NaN,NaN,,,,,NaN,,NaN,,
75,-11,-4,NaN,NaN,,84,-4,85,NaN,98,NaN,-4,
76,,,NaN,NaN,,,,,NaN,,NaN,,
77,-11,-4,NaN,NaN,,84,-4,84,NaN,98,NaN,-4,
78,,,NaN,NaN,,,,,NaN,,NaN,,
79,-11,-4,NaN,NaN,,86,-4,86,NaN,98,NaN,-4,
80,,,NaN,NaN,,,,,NaN,,NaN,,
81,-11,-4,NaN,NaN,,82,-4,84,NaN,98,NaN,-4,
82,,,NaN,NaN,,,,,NaN,,NaN,,
83,-12,-4,NaN,NaN,,79,-4,83,NaN,98,NaN,-4,
84,,,NaN,NaN,,,,,NaN,,NaN,,
85,-12,-4,NaN,NaN,,81,-4,82,NaN,98,NaN,-4,
86,,,NaN,NaN,,,,,NaN,,NaN,,
87,-11,-4,NaN,NaN,,81,-4,81,NaN,98,NaN,-4,
88,,,NaN,NaN,,,,,NaN,,NaN,,
89,-11,-4,NaN,NaN,,81,-4,81,NaN,98,NaN,-4,
90,,,NaN,NaN,,,,,NaN,,NaN,,
91,-11,-4,NaN,NaN,,81,-4,81,NaN,97,NaN,-4,
92,,,NaN,NaN,,,,,NaN,,NaN,,
93,-11,-4,NaN,NaN,,81,-4,81,NaN,97,NaN,-4,
94,,,NaN,NaN,,,,,NaN,,NaN,,
95,-11,-4,NaN,NaN,,81,-4,81,NaN,97,NaN,-4,
96,,,NaN,NaN,,,,,NaN,,NaN,,
97,-11,-5,NaN,NaN,,81,-5,81,NaN,97,NaN,-5,
98,,,NaN,NaN,,,,,NaN,,NaN,,
99,-12,-5,NaN,NaN,,83,-5,82,NaN,97,NaN,-5,
100,,,NaN,NaN,,,,,NaN,,NaN,,
101,-12,-5,NaN,NaN,,83,-5,83,NaN,97,NaN,-5,
102,,,NaN,NaN,,,,,NaN,,NaN,,
103,-12,-5,NaN,NaN,,85,-5,84,NaN,97,NaN,-5,
104,,,NaN,NaN,,,,,NaN,,NaN,,
105,-12,-3,NaN,NaN,,85,-3,85,NaN,97,NaN,-3,
106,,,NaN,NaN,,,,,NaN,,NaN,,
107,-11,-3,NaN,NaN,,84,-3,86,NaN,97,NaN,-3,
108,,,NaN,NaN,,,,,NaN,,NaN,,
109,-11,-4,NaN,NaN,,83,-4,85,NaN,97,NaN,-4,
110,,,NaN,NaN,,,,,NaN,,NaN,,
111,-11,-4,NaN,NaN,,83,-4,84,NaN,97,NaN,-4,
112,,,NaN,NaN,,,,,NaN,,NaN,,
113,-11,-4,NaN,NaN,,83,-4,85,NaN,97,NaN,-4,
114,,,NaN,NaN,,,,,NaN,,NaN,,
115,-11,-4,NaN,NaN,,85,-4,84,NaN,97,NaN,-4,
116,,,NaN,NaN,,,,,NaN,,NaN,,
117,-11,-4,NaN,NaN,,87,-4,84,NaN,97,NaN,-4,
118,,,NaN,NaN,,,,,NaN,,NaN,,
119,-11,-4,NaN,NaN,,88,-4,86,NaN,97,NaN,-4,
120,,,NaN,NaN,,,,,NaN,,NaN,,
121,-12,-4,NaN,NaN,,87,-4,88,NaN,97,NaN,-4,
122,,,NaN,NaN,,,,,NaN,,NaN,,
123,-12,-4,NaN,NaN,,87,-4,88,NaN,97,NaN,-4,
124,,,NaN,NaN,,,,,NaN,,NaN,,
125,-12,-4,NaN,NaN,,87,-4,88,NaN,97,NaN,-4,
126,,,NaN,NaN,,,,,NaN,,NaN,,
127,-12,-4,NaN,NaN,,90,-4,89,NaN,97,NaN,-4,
128,,,NaN,NaN,,,,,NaN,,NaN,,
129,-11,-4,NaN,NaN,,91,-4,90,NaN,97,NaN,-4,
130,,,NaN,NaN,,,,,NaN,,NaN,,
131,-11,-4,NaN,NaN,,91,-4,91,NaN,97,NaN,-4,
132,,,NaN,NaN,,,,,NaN,,NaN,,
133,-11,-4,NaN,NaN,,92,-4,91,NaN,97,NaN,-4,
134,,,NaN,NaN,,,,,NaN,,NaN,,
135,-11,-4,NaN,NaN,,92,-4,92,NaN,97,NaN,-4,
136,,,NaN,NaN,,,,,NaN,,NaN,,
137,-11,-4,NaN,NaN,,91,-4,92,NaN,97,NaN,-4,
138,,,NaN,NaN,,,,,NaN,,NaN,,
139,-11,-4,NaN,NaN,,91,-4,92,NaN,97,NaN,-4,
140,,,NaN,NaN,,,,,NaN,,NaN,,
141,-12,-4,NaN,NaN,,90,-4,91,NaN,97,NaN,-4,
142,,,NaN,NaN,,,,,NaN,,NaN,,
143,-12,-4,NaN,NaN,,88,-4,91,NaN,98,NaN,-4,
144,,,NaN,NaN,,,,,NaN,,NaN,,
145,-12,-4,NaN,NaN,,87,-4,89,NaN,97,NaN,-4,
146,,,NaN,NaN,,,,,NaN,,NaN,,
147,-12,-4,NaN,NaN,,87,-4,88,NaN,98,NaN,-4,
148,,,NaN,NaN,,,,,NaN,,NaN,,
149,-12,-5,NaN,NaN,,88,-5,88,NaN,98,NaN,-5,
150,,,NaN,NaN,,,,,NaN,,NaN,,
151,-11,-5,NaN,NaN,,88,-5,88,NaN,98,NaN,-5,
152,,,NaN,NaN,,,,,NaN,,NaN,,
153,-11,-5,NaN,NaN,,89,-5,89,NaN,98,NaN,-5,
154,,,NaN,NaN,,,,,NaN,,NaN,,
155,-11,-5,NaN,NaN,,88,-5,89,NaN,98,NaN,-5,
156,,,NaN,NaN,,,,,NaN,,NaN,,
157,-11,-3,NaN,NaN,,88,-3,89,NaN,98,NaN,-3,
158,,,NaN,NaN,,,,,NaN,,NaN,,
159,-12,-3,NaN,NaN,,89,-3,88,NaN,99,NaN,-3,
160,,,NaN,NaN,,,,,NaN,,NaN,,
161,-12,-3,NaN,NaN,,90,-3,89,NaN,99,NaN,-3,
162,,,NaN,NaN,,,,,NaN,,NaN,,
163,-12,-3,NaN,NaN,,88,-3,89,NaN,99,NaN,-3,
164,,,NaN,NaN,,,,,NaN,,NaN,,
165,-12,-4,NaN,NaN,,86,-4,89,NaN,99,NaN,-4,
166,,,NaN,NaN,,,,,NaN,,NaN,,
167,-12,-4,NaN,NaN,,84,-4,88,NaN,99,NaN,-4,
168,,,NaN,NaN,,,,,NaN,,NaN,,
169,-12,-4,NaN,NaN,,84,-4,88,NaN,99,NaN,-4,
170,,,NaN,NaN,,,,,NaN,,NaN,,
171,-11,-4,NaN,NaN,,83,-4,85,NaN,99,NaN,-4,
172,,,NaN,NaN,,,,,NaN,,NaN,,
173,-11,-3,NaN,NaN,,84,-3,84,NaN,98,NaN,-3,
174,,,NaN,NaN,,,,,NaN,,NaN,,
175,-11,-3,NaN,NaN,,84,-3,85,NaN,98,NaN,-3,
176,,,NaN,NaN,,,,,NaN,,NaN,,
177,-11,-4,NaN,NaN,,86,-4,86,NaN,98,NaN,-4,
178,,,NaN,NaN,,,,,NaN,,NaN,,
179,-11,-4,NaN,NaN,,82,-4,87,NaN,98,NaN,-4,
180,,,NaN,NaN,,,,,NaN,,NaN,,
181,-12,-4,NaN,NaN,,83,-4,85,NaN,98,NaN,-4,
182,,,NaN,NaN,,,,,NaN,,NaN,,
183,-12,-4,NaN,NaN,,84,-4,85,NaN,98,NaN,-4,
184,,,NaN,NaN,,,,,NaN,,NaN,,
185,-12,-4,NaN,NaN,,86,-4,84,NaN,97,NaN,-4,
186,,,NaN,NaN,,,,,NaN,,NaN,,
187,-12,-4,NaN,NaN,,88,-4,86,NaN,97,NaN,-4,
188,,,NaN,NaN,,,,,NaN,,NaN,,
189,-12,-4,NaN,NaN,,88,-4,88,NaN,97,NaN,-4,
190,,,NaN,NaN,,,,,NaN,,NaN,,
191,-12,-4,NaN,NaN,,90,-4,90,NaN,98,NaN,-4,
192,,,NaN,NaN,,,,,NaN,,NaN,,
193,-11,-5,NaN,NaN,,91,-5,91,NaN,98,NaN,-5,
194,,,NaN,NaN,,,,,NaN,,NaN,,
195,-11,-5,NaN,NaN,,90,-5,92,NaN,99,NaN,-5,
196,,,NaN,NaN,,,,,NaN,,NaN,,
197,-11,-5,NaN,NaN,,89,-5,91,NaN,98,NaN,-5,
198,,,NaN,NaN,,,,,NaN,,NaN,,
199,-11,-5,NaN,NaN,,89,-5,90,NaN,98,NaN,-5,
200,,,NaN,NaN,,,,,NaN,,NaN,,
201,-12,-5,NaN,NaN,,90,-5,90,NaN,98,NaN,-5,
202,,,NaN,NaN,,,,,NaN,,NaN,,
203,-12,-5,NaN,NaN,,91,-5,90,NaN,99,NaN,-5,
204,,,NaN,NaN,,,,,NaN,,NaN,,
205,-12,-5,NaN,NaN,,91,-5,91,NaN,99,NaN,-5,
206,,,NaN,NaN,,,,,NaN,,NaN,,
207,-12,-5,NaN,NaN,,86,-5,91,NaN,98,NaN,-5,
208,,,NaN,NaN,,,,,NaN,,NaN,,
209,-12,-4,NaN,NaN,,83,-4,89,NaN,99,NaN,-4,
210,,,NaN,NaN,,,,,NaN,,NaN,,
211,-12,-4,NaN,NaN,,81,-4,86,NaN,99,NaN,-4,
212,,,NaN,NaN,,,,,NaN,,NaN,,
213,-12,-3,NaN,NaN,,83,-3,85,NaN,99,NaN,-3,
214,,,NaN,NaN,,,,,NaN,,NaN,,
215,-12,-3,NaN,NaN,,81,-3,83,NaN,98,NaN,-3,
216,,,NaN,NaN,,,,,NaN,,NaN,,
217,-12,-4,NaN,NaN,,81,-4,82,NaN,98,NaN,-4,
218,,,NaN,NaN,,,,,NaN,,NaN,,
219,-12,-4,NaN,NaN,,79,-4,81,NaN,98,NaN,-4,
220,,,NaN,NaN,,,,,NaN,,NaN,,
221,-12,-4,NaN,NaN,,79,-4,80,NaN,98,NaN,-4,
222,,,NaN,NaN,,,,,NaN,,NaN,,
223,-12,-4,NaN,NaN,,79,-4,80,NaN,98,NaN,-4,
224,,,NaN,NaN,,,,,NaN,,NaN,,
225,-12,-3,NaN,NaN,,80,-3,81,NaN,98,NaN,-3,
226,,,NaN,NaN,,,,,NaN,,NaN,,
227,-12,-3,NaN,NaN,,80,-3,80,NaN,97,NaN,-3,
228,,,NaN,NaN,,,,,NaN,,NaN,,
229,-12,-4,NaN,NaN,,80,-4,80,NaN,97,NaN,-4,
230,,,NaN,NaN,,,,,NaN,,NaN,,
231,-12,-4,NaN,NaN,,79,-4,82,NaN,97,NaN,-4,
232,,,NaN,NaN,,,,,NaN,,NaN,,
233,-12,-4,NaN,NaN,,78,-4,80,NaN,97,NaN,-4,
234,,,NaN,NaN,,,,,NaN,,NaN,,
235,-12,-4,NaN,NaN,,76,3,79,NaN,97,NaN,-8,
236,,,NaN,NaN,,,,,NaN,,NaN,,
237,-12,-4,NaN,NaN,,78,0,79,NaN,97,NaN,-7,
238,,,NaN,NaN,,,,,NaN,,NaN,,
239,-12,-4,NaN,NaN,,80,0,79,NaN,97,NaN,-7,
240,,,NaN,NaN,,,,,NaN,,NaN,,
241,-12,-4,NaN,NaN,,81,-4,80,NaN,97,NaN,-4,
242,,,NaN,NaN,,,,,NaN,,NaN,,
243,-12,-4,NaN,NaN,,83,-4,80,NaN,96,NaN,-4,
244,,,NaN,NaN,,,,,NaN,,NaN,,
245,-12,-4,NaN,NaN,,85,-4,82,NaN,97,NaN,-4,
246,,,NaN,NaN,,,,,NaN,,NaN,,
247,-12,-4,NaN,NaN,,87,-4,84,NaN,96,NaN,-4,
248,,,NaN,NaN,,,,,NaN,,NaN,,
249,-12,-4,NaN,NaN,,87,-4,87,NaN,96,NaN,-4,
250,,,NaN,NaN,,,,,NaN,,NaN,,
251,-12,-4,NaN,NaN,,87,-4,87,NaN,96,NaN,-4,
252,,,NaN,NaN,,,,,NaN,,NaN,,
253,-11,-5,NaN,NaN,,87,-5,88,NaN,96,NaN,-5,
254,,,NaN,NaN,,,,,NaN,,NaN,,
255,-11,-5,NaN,NaN,,88,-5,88,NaN,96,NaN,-5,
256,,,NaN,NaN,,,,,NaN,,NaN,,
257,-11,-4,NaN,NaN,,88,-4,88,NaN,97,NaN,-4,
258,,,NaN,NaN,,,,,NaN,,NaN,,
259,-11,-4,NaN,NaN,,88,-4,88,NaN,97,NaN,-4,
260,,,NaN,NaN,,,,,NaN,,NaN,,
261,-12,-4,NaN,NaN,,87,-4,88,NaN,97,NaN,-4,
262,,,NaN,NaN,,,,,NaN,,NaN,,
263,-12,-4,NaN,NaN,,87,-4,88,NaN,97,NaN,-4,
264,,,NaN,NaN,,,,,NaN,,NaN,,
265,-12,-3,NaN,NaN,,86,-3,87,NaN,98,NaN,-3,
266,,,NaN,NaN,,,,,NaN,,NaN,,
267,-12,-3,NaN,NaN,,86,-3,87,NaN,97,NaN,-3,
268,,,NaN,NaN,,,,,NaN,,NaN,,
269,-12,-4,NaN,NaN,,86,-4,87,NaN,97,NaN,-4,
270,,,NaN,NaN,,,,,NaN,,NaN,,
271,-12,-4,NaN,NaN,,85,-4,87,NaN,97,NaN,-4,
272,,,NaN,NaN,,,,,NaN,,NaN,,
273,-12,-4,NaN,NaN,,84,-4,86,NaN,98,NaN,-4,
274,,,NaN,NaN,,,,,NaN,,NaN,,
275,-12,-4,NaN,NaN,,84,-4,85,NaN,98,NaN,-4,
276,,,NaN,NaN,,,,,NaN,,NaN,,
277,-12,-3,NaN,NaN,,84,-3,85,NaN,97,NaN,-3,
278,,,NaN,NaN,,,,,NaN,,NaN,,
279,-12,-3,NaN,NaN,,84,-3,85,NaN,97,NaN,-3,
280,,,NaN,NaN,,,,,NaN,,NaN,,
281,-12,-4,NaN,NaN,,83,-4,85,NaN,97,NaN,-4,
282,,,NaN,NaN,,,,,NaN,,NaN,,
283,-12,-4,NaN,NaN,,83,-4,84,NaN,97,NaN,-4,
284,,,NaN,NaN,,,,,NaN,,NaN,,
285,-12,-4,NaN,NaN,,82,-4,83,NaN,97,NaN,-4,
286,,,NaN,NaN,,,,,NaN,,NaN,,
287,-12,-4,NaN,NaN,,82,-4,82,NaN,97,NaN,-4,
288,,,NaN,NaN,,,,,NaN,,NaN,,
289,-12,-4,NaN,NaN,,82,-4,82,NaN,97,NaN,-4,
290,,,NaN,NaN,,,,,NaN,,NaN,,
291,-12,-4,NaN,NaN,,83,-4,83,NaN,97,NaN,-4,
292,,,NaN,NaN,,,,,NaN,,NaN,,
293,-12,-4,NaN,NaN,,84,-4,83,NaN,97,NaN,-4,
294,,,NaN,NaN,,,,,NaN,,NaN,,
295,-11,-4,NaN,NaN,,86,-4,84,NaN,97,NaN,-4,
296,,,NaN,NaN,,,,,NaN,,NaN,,
297,-11,-4,NaN,NaN,,87,-4,86,NaN,97,NaN,-4,
298,,,NaN,NaN,,,,,NaN,,NaN,,
299,-11,-4,NaN,NaN,,88,-4,87,NaN,96,NaN,-4,
300,,,NaN,NaN,,,,,NaN,,NaN,,
301,-11,-5,NaN,NaN,,89,-5,89,NaN,97,NaN,-5,
302,,,NaN,NaN,,,,,NaN,,NaN,,
303,-11,-5,NaN,NaN,,89,-5,89,NaN,97,NaN,-5,
304,,,NaN,NaN,,,,,NaN,,NaN,,
305,-11,-5,NaN,NaN,,89,-5,89,NaN,97,NaN,-5,
306,,,NaN,NaN,,,,,NaN,,NaN,,
307,-11,-5,NaN,NaN,,89,-5,90,NaN,97,NaN,-5,
308,,,NaN,NaN,,,,,NaN,,NaN,,
309,-12,-4,NaN,NaN,,89,-4,89,NaN,97,NaN,-4,
310,,,NaN,NaN,,,,,NaN,,NaN,,
311,-12,-4,NaN,NaN,,90,-4,91,NaN,97,NaN,-4,
312,,,NaN,NaN,,,,,NaN,,NaN,,
313,-12,-4,NaN,NaN,,92,-4,92,NaN,97,NaN,-4,
314,,,NaN,NaN,,,,,NaN,,NaN,,
315,-12,-4,NaN,NaN,,94,-4,93,NaN,97,NaN,-4,
316,,,NaN,NaN,,,,,NaN,,NaN,,
317,-11,-3,NaN,NaN,,94,-3,94,NaN,97,NaN,-3,
318,,,NaN,NaN,,,,,NaN,,NaN,,
319,-11,-3,NaN,NaN,,94,-3,95,NaN,97,NaN,-3,
320,,,NaN,NaN,,,,,NaN,,NaN,,
321,-11,-4,NaN,NaN,,95,-4,95,NaN,97,NaN,-4,
322,,,NaN,NaN,,,,,NaN,,NaN,,
323,-11,-4,NaN,NaN,,95,-4,95,NaN,96,NaN,-4,
324,,,NaN,NaN,,,,,NaN,,NaN,,
325,-11,-4,NaN,NaN,,95,-4,95,NaN,96,NaN,-4,
326,,,NaN,NaN,,,,,NaN,,NaN,,
327,-11,-4,NaN,NaN,,97,-4,96,NaN,97,NaN,-4,
328,,,NaN,NaN,,,,,NaN,,NaN,,
329,-11,-4,NaN,NaN,,98,-4,97,NaN,97,NaN,-4,
330,,,NaN,NaN,,,,,NaN,,NaN,,
331,-11,-4,NaN,NaN,,97,-4,99,NaN,97,NaN,-4,
332,,,NaN,NaN,,,,,NaN,,NaN,,
333,-11,-4,NaN,NaN,,95,-4,98,NaN,97,NaN,-4,
334,,,NaN,NaN,,,,,NaN,,NaN,,
335,-11,-4,NaN,NaN,,94,-4,97,NaN,97,NaN,-4,
336,,,NaN,NaN,,,,,NaN,,NaN,,
337,-11,-4,NaN,NaN,,93,-4,95,NaN,97,NaN,-4,
338,,,NaN,NaN,,,,,NaN,,NaN,,
339,-11,-4,NaN,NaN,,92,-4,94,NaN,97,NaN,-4,
340,,,NaN,NaN,,,,,NaN,,NaN,,
341,-11,-4,NaN,NaN,,92,-4,94,NaN,97,NaN,-4,
342,,,NaN,NaN,,,,,NaN,,NaN,,
343,-10,-4,NaN,NaN,,91,-4,95,NaN,97,NaN,-4,
344,,,NaN,NaN,,,,,NaN,,NaN,,
345,-10,-4,NaN,NaN,,91,-4,95,NaN,97,NaN,-4,
346,,,NaN,NaN,,,,,NaN,,NaN,,
347,-10,-4,NaN,NaN,,90,-4,93,NaN,97,NaN,-4,
348,,,NaN,NaN,,,,,NaN,,NaN,,
349,-10,-5,NaN,NaN,,89,-5,90,NaN,97,NaN,-5,
350,,,NaN,NaN,,,,,NaN,,NaN,,
351,-11,-5,NaN,NaN,,89,-5,89,NaN,96,NaN,-5,
352,,,NaN,NaN,,,,,NaN,,NaN,,
353,-11,-4,NaN,NaN,,90,-4,90,NaN,95,NaN,-4,
354,,,NaN,NaN,,,,,NaN,,NaN,,
355,-11,-4,NaN,NaN,,90,-4,87,NaN,96,NaN,-4,
356,,,NaN,NaN,,,,,NaN,,NaN,,
357,-11,-5,NaN,NaN,,90,-5,88,NaN,96,NaN,-5,
358,,,NaN,NaN,,,,,NaN,,NaN,,
359,-11,-5,NaN,NaN,,90,-5,88,NaN,96,NaN,-5,
360,,,NaN,NaN,,,,,NaN,,NaN,,
361,-11,-3,NaN,NaN,,90,-3,89,NaN,96,NaN,-3,
362,,,NaN,NaN,,,,,NaN,,NaN,,
363,-10,-3,NaN,NaN,,91,-3,90,NaN,96,NaN,-3,
364,,,NaN,NaN,,,,,NaN,,NaN,,
365,-10,-4,NaN,NaN,,91,-4,88,NaN,96,NaN,-4,
366,,,NaN,NaN,,,,,NaN,,NaN,,
367,-10,-4,NaN,NaN,,91,-4,92,NaN,97,NaN,-4,
368,,,NaN,NaN,,,,,NaN,,NaN,,
369,-10,-4,NaN,NaN,,91,-4,91,NaN,97,NaN,-4,
370,,,NaN,NaN,,,,,NaN,,NaN,,
371,-10,-4,NaN,NaN,,90,-4,92,NaN,96,NaN,-4,
372,,,NaN,NaN,,,,,NaN,,NaN,,
373,-10,-4,NaN,NaN,,90,-4,91,NaN,96,NaN,-4,
374,,,NaN,NaN,,,,,NaN,,NaN,,
375,-10,-4,NaN,NaN,,90,-4,91,NaN,96,NaN,-4,
376,,,NaN,NaN,,,,,NaN,,NaN,,
377,-11,-4,NaN,NaN,,90,-4,90,NaN,96,NaN,-4,
378,,,NaN,NaN,,,,,NaN,,NaN,,
379,-11,-4,NaN,NaN,,90,-4,90,NaN,96,NaN,-4,
380,,,NaN,NaN,,,,,NaN,,NaN,,
381,-10,-4,NaN,NaN,,90,-4,90,NaN,96,NaN,-4,
382,,,NaN,NaN,,,,,NaN,,NaN,,
383,-10,-4,NaN,NaN,,90,-4,90,NaN,96,NaN,-4,
384,,,NaN,NaN,,,,,NaN,,NaN,,
385,-10,-4,NaN,NaN,,90,-4,90,NaN,96,NaN,-4,
386,,,NaN,NaN,,,,,NaN,,NaN,,
387,-10,-4,NaN,NaN,,91,-4,91,NaN,96,NaN,-4,
388,,,NaN,NaN,,,,,NaN,,NaN,,
389,-10,-4,NaN,NaN,,90,-4,91,NaN,96,NaN,-4,
390,,,NaN,NaN,,,,,NaN,,NaN,,
391,-10,-4,NaN,NaN,,92,-4,91,NaN,96,NaN,-4,
392,,,NaN,NaN,,,,,NaN,,NaN,,
393,-10,-4,NaN,NaN,,92,-4,92,NaN,96,NaN,-4,
394,,,NaN,NaN,,,,,NaN,,NaN,,
395,-10,-4,NaN,NaN,,91,-4,92,NaN,96,NaN,-4,
396,,,NaN,NaN,,,,,NaN,,NaN,,
397,-10,-4,NaN,NaN,,91,-4,92,NaN,95,NaN,-4,
398,,,NaN,NaN,,,,,NaN,,NaN,,
399,-10,-4,NaN,NaN,,91,-4,92,NaN,95,NaN,-4,
400,,,NaN,NaN,,,,,NaN,,NaN,,
401,-10,-4,NaN,NaN,,91,-4,92,NaN,96,NaN,-4,
402,,,NaN,NaN,,,,,NaN,,NaN,,
403,-10,-4,NaN,NaN,,91,-4,92,NaN,96,NaN,-4,
404,,,NaN,NaN,,,,,NaN,,NaN,,
405,-10,-5,NaN,NaN,,92,-5,92,NaN,96,NaN,-5,
406,,,NaN,NaN,,,,,NaN,,NaN,,
407,-9,-5,NaN,NaN,,92,-5,93,NaN,97,NaN,-5,
408,,,NaN,NaN,,,,,NaN,,NaN,,
409,-9,-5,NaN,NaN,,93,-5,93,NaN,97,NaN,-5,
410,,,NaN,NaN,,,,,NaN,,NaN,,
411,-9,-3,NaN,NaN,,94,-3,93,NaN,97,NaN,-3,
412,,,NaN,NaN,,,,,NaN,,NaN,,
413,-9,-3,NaN,NaN,,94,-3,94,NaN,97,NaN,-3,
414,,,NaN,NaN,,,,,NaN,,NaN,,
415,-10,-3,NaN,NaN,,94,-3,95,NaN,97,NaN,-3,
416,,,NaN,NaN,,,,,NaN,,NaN,,
417,-10,-3,NaN,NaN,,96,-3,96,NaN,97,NaN,-3,
418,,,NaN,NaN,,,,,NaN,,NaN,,
419,-10,-3,NaN,NaN,,96,-3,97,NaN,97,NaN,-3,
420,,,NaN,NaN,,,,,NaN,,NaN,,
421,-10,-4,NaN,NaN,,95,-4,97,NaN,97,NaN,-4,
422,,,NaN,NaN,,,,,NaN,,NaN,,
423,-10,-4,NaN,NaN,,95,-4,96,NaN,97,NaN,-4,
424,,,NaN,NaN,,,,,NaN,,NaN,,
