time,Solar8000/ART_DBP,Solar8000/ETCO2,Solar8000/RR_CO2,SNUADC/ECG_V5,SNUADC/ART,Solar8000/ART_SBP,Solar8000/CVP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/PLETH_HR
0,,,,NaN,NaN,,,NaN,,,NaN,,
1,,,,-4.9562602043151855,-499.346923828125,,,-4.9562602043151855,,,-495.6260070800781,,
2,,,,-4.956240177154541,-499.344970703125,,,-4.956240177154541,,,-495.6240234375,,
3,-9,,,NaN,NaN,-5,,NaN,,90,NaN,-6,
4,,,,NaN,NaN,,,NaN,,,NaN,,
5,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
6,,,,NaN,NaN,,,NaN,,,NaN,,
7,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
8,,,,NaN,NaN,,,NaN,,,NaN,,
9,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
10,,,,NaN,NaN,,,NaN,,,NaN,,
11,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
12,,,,NaN,NaN,,,NaN,,,NaN,,
13,-5,,,NaN,NaN,-5,,NaN,,91,NaN,-5,
14,,,,NaN,NaN,,,NaN,,,NaN,,
15,-5,,,NaN,NaN,-5,,NaN,,91,NaN,-5,
16,,,,NaN,NaN,,,NaN,,,NaN,,
17,-5,,,NaN,NaN,-5,,NaN,,91,NaN,-5,
18,,,,NaN,NaN,,,NaN,,,NaN,,
19,-5,,,NaN,NaN,-5,,NaN,,91,NaN,-5,
20,,,,NaN,NaN,,,NaN,,,NaN,,
21,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
22,,,,NaN,NaN,,,NaN,,,NaN,,
23,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
24,,,,NaN,NaN,,,NaN,,,NaN,,
25,-8,,,NaN,NaN,-1,,NaN,,74,NaN,-6,
26,,,,NaN,NaN,,,NaN,,,NaN,,
27,-8,,,NaN,NaN,-4,,NaN,,83,NaN,-6,
28,,,,NaN,NaN,,,NaN,,,NaN,,
29,-8,,,NaN,NaN,-4,,NaN,,82,NaN,-6,
30,,,,NaN,NaN,,,NaN,,,NaN,,
31,-6,,,NaN,NaN,-6,,NaN,,93,NaN,-6,
32,,,,NaN,NaN,,,NaN,,,NaN,,
33,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
34,,,,NaN,NaN,,,NaN,,,NaN,,
35,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
36,,,,NaN,NaN,,,NaN,,,NaN,,
37,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
38,,,,NaN,NaN,,,NaN,,,NaN,,
39,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
40,,,,NaN,NaN,,,NaN,,,NaN,,
41,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
42,,,,NaN,NaN,,,NaN,,,NaN,,
43,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
44,,,,NaN,NaN,,,NaN,,,NaN,,
45,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
46,,,,NaN,NaN,,,NaN,,,NaN,,
47,-6,,,NaN,NaN,-6,,NaN,,90,NaN,-6,
48,,,,NaN,NaN,,,NaN,,,NaN,,
49,-6,,,NaN,NaN,-6,,NaN,,89,NaN,-6,
50,,,,NaN,NaN,,,NaN,,,NaN,,
51,-5,,,NaN,NaN,-5,,NaN,,89,NaN,-5,
52,,,,NaN,NaN,,,NaN,,,NaN,,
53,-5,,,NaN,NaN,-5,,NaN,,88,NaN,-5,
54,,,,NaN,NaN,,,NaN,,,NaN,,
55,-6,,,NaN,NaN,-6,,NaN,,89,NaN,-6,
56,,,,NaN,NaN,,,NaN,,,NaN,,
57,-6,,,NaN,NaN,-6,,NaN,,79,NaN,-6,
58,,,,NaN,NaN,,,NaN,,,NaN,,
59,-7,,,NaN,NaN,-7,,NaN,,79,NaN,-7,
60,,,,NaN,NaN,,,NaN,,,NaN,,
61,-12,,,NaN,NaN,-4,,NaN,,80,NaN,-7,
62,,,,NaN,NaN,,,NaN,,,NaN,,
63,-12,,,NaN,NaN,-4,,NaN,,80,NaN,-7,
64,,,,NaN,NaN,,,NaN,,,NaN,,
65,-7,,,NaN,NaN,-7,,NaN,,80,NaN,-7,
66,,,,NaN,NaN,,,NaN,,,NaN,,
67,-7,,,NaN,NaN,-7,,NaN,,72,NaN,-7,
68,,,,NaN,NaN,,,NaN,,,NaN,,
69,-7,,,NaN,NaN,-7,,NaN,,72,NaN,-7,
70,,,,NaN,NaN,,,NaN,,,NaN,,
71,-7,,,NaN,NaN,-7,,NaN,,72,NaN,-7,
72,,,,NaN,NaN,,,NaN,,,NaN,,
73,-7,,,NaN,NaN,-7,,NaN,,81,NaN,-7,
74,,,,NaN,NaN,,,NaN,,,NaN,,
75,-7,,,NaN,NaN,-7,,NaN,,91,NaN,-7,
76,,,,NaN,NaN,,,NaN,,,NaN,,
77,-7,,,NaN,NaN,-7,,NaN,,92,NaN,-7,
78,,,,NaN,NaN,,,NaN,,,NaN,,
79,-7,,,NaN,NaN,-7,,NaN,,81,NaN,-7,
80,,,,NaN,NaN,,,NaN,,,NaN,,
81,-7,,,NaN,NaN,-7,,NaN,,80,NaN,-7,
82,,,,NaN,NaN,,,NaN,,,NaN,,
83,-7,,,NaN,NaN,-7,,NaN,,80,NaN,-7,
84,,,,NaN,NaN,,,NaN,,,NaN,,
85,-7,,,NaN,NaN,-7,,NaN,,80,NaN,-7,
86,,,,NaN,NaN,,,NaN,,,NaN,,
87,-10,,,NaN,NaN,-4,,NaN,,80,NaN,-7,
88,,,,NaN,NaN,,,NaN,,,NaN,,
89,-10,,,NaN,NaN,-4,,NaN,,80,NaN,-7,
90,,,,NaN,NaN,,,NaN,,,NaN,,
91,-7,,,NaN,NaN,-7,,NaN,,90,NaN,-7,
92,,,,NaN,NaN,,,NaN,,,NaN,,
93,-7,,,NaN,NaN,-7,,NaN,,89,NaN,-7,
94,,,,NaN,NaN,,,NaN,,,NaN,,
95,-7,,,NaN,NaN,-7,,NaN,,79,NaN,-7,
96,,,,NaN,NaN,,,NaN,,,NaN,,
97,-7,,,NaN,NaN,-7,,NaN,,79,NaN,-7,
98,,,,NaN,NaN,,,NaN,,,NaN,,
99,-8,,,NaN,NaN,-8,,NaN,,83,NaN,-8,
100,,,,NaN,NaN,,,NaN,,,NaN,,
101,-8,,,NaN,NaN,-8,,NaN,,89,NaN,-8,
102,,,,NaN,NaN,,,NaN,,,NaN,,
103,-7,,,NaN,NaN,-7,,NaN,,90,NaN,-7,
104,,,,NaN,NaN,,,NaN,,,NaN,,
105,-7,,,NaN,NaN,-7,,NaN,,86,NaN,-7,
106,,,,NaN,NaN,,,NaN,,,NaN,,
107,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
108,,,,NaN,NaN,,,NaN,,,NaN,,
109,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
110,,,,NaN,NaN,,,NaN,,,NaN,,
111,-8,,,NaN,NaN,-6,,NaN,,80,NaN,-6,
112,,,,NaN,NaN,,,NaN,,,NaN,,
113,-8,,,NaN,NaN,-6,,NaN,,80,NaN,-6,
114,,,,NaN,NaN,,,NaN,,,NaN,,
115,-7,,,NaN,NaN,-7,,NaN,,90,NaN,-7,
116,,,,NaN,NaN,,,NaN,,,NaN,,
117,-7,,,NaN,NaN,-7,,NaN,,90,NaN,-7,
118,,,,NaN,NaN,,,NaN,,,NaN,,
119,-7,,,NaN,NaN,-7,,NaN,,80,NaN,-7,
120,,,,NaN,NaN,,,NaN,,,NaN,,
121,-7,,,NaN,NaN,-7,,NaN,,79,NaN,-7,
122,,,,NaN,NaN,,,NaN,,,NaN,,
123,-7,,,NaN,NaN,-7,,NaN,,78,NaN,-7,
124,,,,NaN,NaN,,,NaN,,,NaN,,
125,-7,,,NaN,NaN,-7,,NaN,,88,NaN,-7,
126,,,,NaN,NaN,,,NaN,,,NaN,,
127,-7,,,NaN,NaN,-7,,NaN,,88,NaN,-7,
128,,,,NaN,NaN,,,NaN,,,NaN,,
129,-7,,,NaN,NaN,-7,,NaN,,88,NaN,-7,
130,,,,NaN,NaN,,,NaN,,,NaN,,
131,-7,,,NaN,NaN,-7,,NaN,83,88,NaN,-7,141
132,,,,NaN,NaN,,,NaN,,,NaN,,
133,-7,,,NaN,NaN,-7,,NaN,87,88,NaN,-7,145
134,,,,NaN,NaN,,,NaN,,,NaN,,
135,-7,,,NaN,NaN,-7,,NaN,88,88,NaN,-7,143
136,,,,NaN,NaN,,,NaN,,,NaN,,
137,-7,,,NaN,NaN,-7,,NaN,91,88,NaN,-7,136
138,,,,NaN,NaN,,,NaN,,,NaN,,
139,-6,,,NaN,NaN,-6,,NaN,93,88,NaN,-6,117
140,,,,NaN,NaN,,,NaN,,,NaN,,
141,-6,,,NaN,NaN,-6,,NaN,94,87,NaN,-6,103
142,,,,NaN,NaN,,,NaN,,,NaN,,
143,-6,,,NaN,NaN,-6,,NaN,94,87,NaN,-6,95
144,,,,NaN,NaN,,,NaN,,,NaN,,
145,-6,,,NaN,NaN,-6,,NaN,95,87,NaN,-6,88
146,,,,NaN,NaN,,,NaN,,,NaN,,
147,-7,,,NaN,NaN,-7,,NaN,95,87,NaN,-7,88
148,,,,NaN,NaN,,,NaN,,,NaN,,
149,-7,,,NaN,NaN,-7,,NaN,95,87,NaN,-7,87
150,,,,NaN,NaN,,,NaN,,,NaN,,
151,-7,,,NaN,NaN,-7,,NaN,95,86,NaN,-7,87
152,,,,NaN,NaN,,,NaN,,,NaN,,
153,-7,,,NaN,NaN,-7,,NaN,94,87,NaN,-7,87
154,,,,NaN,NaN,,,NaN,,,NaN,,
155,-7,,,NaN,NaN,-7,,NaN,94,87,NaN,-7,87
156,,,,NaN,NaN,,,NaN,,,NaN,,
157,-7,,,NaN,NaN,-7,,NaN,94,87,NaN,-7,88
158,,,,NaN,NaN,,,NaN,,,NaN,,
159,-7,,,NaN,NaN,-7,,NaN,94,87,NaN,-7,88
160,,,,NaN,NaN,,,NaN,,,NaN,,
161,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,88
162,,,,NaN,NaN,,,NaN,,,NaN,,
163,-7,,,NaN,NaN,-7,,NaN,94,78,NaN,-7,88
164,,,,NaN,NaN,,,NaN,,,NaN,,
165,-7,,,NaN,NaN,-7,,NaN,94,78,NaN,-7,88
166,,,,NaN,NaN,,,NaN,,,NaN,,
167,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,88
168,,,,NaN,NaN,,,NaN,,,NaN,,
169,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,89
170,,,,NaN,NaN,,,NaN,,,NaN,,
171,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,88
172,,,,NaN,NaN,,,NaN,,,NaN,,
173,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,88
174,,,,NaN,NaN,,,NaN,,,NaN,,
175,-7,,,NaN,NaN,-7,,NaN,95,88,NaN,-7,88
176,,,,NaN,NaN,,,NaN,,,NaN,,
177,-7,,,NaN,NaN,-7,,NaN,95,88,NaN,-7,89
178,,,,NaN,NaN,,,NaN,,,NaN,,
179,-5,,,NaN,NaN,-5,,NaN,95,88,NaN,-5,89
180,,,,NaN,NaN,,,NaN,,,NaN,,
181,-8,,,NaN,NaN,-4,,NaN,95,88,NaN,-6,89
182,,,,NaN,NaN,,,NaN,,,NaN,,
183,-8,,,NaN,NaN,-4,,NaN,95,88,NaN,-6,88
184,,,,NaN,NaN,,,NaN,,,NaN,,
185,-8,,,NaN,NaN,-4,,NaN,95,88,NaN,-6,88
186,,,,NaN,NaN,,,NaN,,,NaN,,
187,-8,,,NaN,NaN,-4,,NaN,95,88,NaN,-6,88
188,,,,NaN,NaN,,,NaN,,,NaN,,
189,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,88
190,,,,NaN,NaN,,,NaN,,,NaN,,
191,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,88
192,,,,NaN,NaN,,,NaN,,,NaN,,
193,-7,,,NaN,NaN,-7,,NaN,94,85,NaN,-7,89
194,,,,NaN,NaN,,,NaN,,,NaN,,
195,-7,,,NaN,NaN,-7,,NaN,95,89,NaN,-7,89
196,,,,NaN,NaN,,,NaN,,,NaN,,
197,-9,,,NaN,NaN,-5,,NaN,95,93,NaN,-7,89
198,,,,NaN,NaN,,,NaN,,,NaN,,
199,-9,,,NaN,NaN,-5,,NaN,95,89,NaN,-7,89
200,,,,NaN,NaN,,,NaN,,,NaN,,
201,-7,,,NaN,NaN,-7,,NaN,95,90,NaN,-7,89
202,,,,NaN,NaN,,,NaN,,,NaN,,
203,-7,,,NaN,NaN,-7,,NaN,95,89,NaN,-7,89
204,,,,NaN,NaN,,,NaN,,,NaN,,
205,-7,,,NaN,NaN,-7,,NaN,95,89,NaN,-7,89
206,,,,NaN,NaN,,,NaN,,,NaN,,
207,-7,,,NaN,NaN,-7,,NaN,95,88,NaN,-7,89
208,,,,NaN,NaN,,,NaN,,,NaN,,
209,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,89
210,,,,NaN,NaN,,,NaN,,,NaN,,
211,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,88
212,,,,NaN,NaN,,,NaN,,,NaN,,
213,-7,,,NaN,NaN,-7,,NaN,94,87,NaN,-7,87
214,,,,NaN,NaN,,,NaN,,,NaN,,
215,-7,,,NaN,NaN,-7,,NaN,94,87,NaN,-7,88
216,,,,NaN,NaN,,,NaN,,,NaN,,
217,-7,,,NaN,NaN,-7,,NaN,94,87,NaN,-7,88
218,,,,NaN,NaN,,,NaN,,,NaN,,
219,-7,,,NaN,NaN,-7,,NaN,95,88,NaN,-7,87
220,,,,NaN,NaN,,,NaN,,,NaN,,
221,-6,,,NaN,NaN,-6,,NaN,95,87,NaN,-6,87
222,,,,NaN,NaN,,,NaN,,,NaN,,
223,-6,,,NaN,NaN,-6,,NaN,95,83,NaN,-6,87
224,,,,NaN,NaN,,,NaN,,,NaN,,
225,-6,,,NaN,NaN,-6,,NaN,95,92,NaN,-6,86
226,,,,NaN,NaN,,,NaN,,,NaN,,
227,-6,,,NaN,NaN,-6,,NaN,95,88,NaN,-6,86
228,,,,NaN,NaN,,,NaN,,,NaN,,
229,-7,,,NaN,NaN,-7,,NaN,95,93,NaN,-7,86
230,,,,NaN,NaN,,,NaN,,,NaN,,
231,-7,,,NaN,NaN,-7,,NaN,95,89,NaN,-7,87
232,,,,NaN,NaN,,,NaN,,,NaN,,
233,-7,,,NaN,NaN,-7,,NaN,95,84,NaN,-7,88
234,,,,NaN,NaN,,,NaN,,,NaN,,
235,-7,,,NaN,NaN,-7,,NaN,95,88,NaN,-7,88
236,,,,NaN,NaN,,,NaN,,,NaN,,
237,-7,,,NaN,NaN,-7,,NaN,95,87,NaN,-7,88
238,,,,NaN,NaN,,,NaN,,,NaN,,
239,-7,,,NaN,NaN,-7,,NaN,95,87,NaN,-7,88
240,,,,NaN,NaN,,,NaN,,,NaN,,
241,-7,,,NaN,NaN,-7,,NaN,95,87,NaN,-7,88
242,,,,NaN,NaN,,,NaN,,,NaN,,
243,-7,,,NaN,NaN,-7,,NaN,95,87,NaN,-7,87
244,,,,NaN,NaN,,,NaN,,,NaN,,
245,-7,,,NaN,NaN,-7,,NaN,95,87,NaN,-7,87
246,,,,NaN,NaN,,,NaN,,,NaN,,
247,-7,,,NaN,NaN,-7,,NaN,95,87,NaN,-7,87
248,,,,NaN,NaN,,,NaN,,,NaN,,
249,-7,,,NaN,NaN,-7,,NaN,95,87,NaN,-7,88
250,,,,NaN,NaN,,,NaN,,,NaN,,
251,-7,,,NaN,NaN,-7,,NaN,94,87,NaN,-7,88
252,,,,NaN,NaN,,,NaN,,,NaN,,
253,-7,,,NaN,NaN,-7,,NaN,94,87,NaN,-7,88
254,,,,NaN,NaN,,,NaN,,,NaN,,
255,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,88
256,,,,NaN,NaN,,,NaN,,,NaN,,
257,-7,,,NaN,NaN,-7,,NaN,95,88,NaN,-7,87
258,,,,NaN,NaN,,,NaN,,,NaN,,
259,-7,,,NaN,NaN,-7,,NaN,95,88,NaN,-7,88
260,,,,NaN,NaN,,,NaN,,,NaN,,
261,-7,,,NaN,NaN,-7,,NaN,95,85,NaN,-7,89
262,,,,NaN,NaN,,,NaN,,,NaN,,
263,-6,,,NaN,NaN,-6,,NaN,95,89,NaN,-6,89
264,,,,NaN,NaN,,,NaN,,,NaN,,
265,-6,,,NaN,NaN,-6,,NaN,95,89,NaN,-6,89
266,,,,NaN,NaN,,,NaN,,,NaN,,
267,-6,,,NaN,NaN,-6,,NaN,95,89,NaN,-6,89
268,,,,NaN,NaN,,,NaN,,,NaN,,
269,-6,,,NaN,NaN,-6,,NaN,95,89,NaN,-6,89
270,,,,NaN,NaN,,,NaN,,,NaN,,
271,-7,,,NaN,NaN,-7,,NaN,95,89,NaN,-7,89
272,,,,NaN,NaN,,,NaN,,,NaN,,
273,-7,,,NaN,NaN,-7,,NaN,95,89,NaN,-7,90
274,,,,NaN,NaN,,,NaN,,,NaN,,
275,-7,,,NaN,NaN,-7,,NaN,95,93,NaN,-7,89
276,,,,NaN,NaN,,,NaN,,,NaN,,
277,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,88
278,,,,NaN,NaN,,,NaN,,,NaN,,
279,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,88
280,,,,NaN,NaN,,,NaN,,,NaN,,
281,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,88
282,,,,NaN,NaN,,,NaN,,,NaN,,
283,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,88
284,,,,NaN,NaN,,,NaN,,,NaN,,
285,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,88
286,,,,NaN,NaN,,,NaN,,,NaN,,
287,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,89
288,,,,NaN,NaN,,,NaN,,,NaN,,
289,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,89
290,,,,NaN,NaN,,,NaN,,,NaN,,
291,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,89
292,,,,NaN,NaN,,,NaN,,,NaN,,
293,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,88
294,,,,NaN,NaN,,,NaN,,,NaN,,
295,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,88
296,,,,NaN,NaN,,,NaN,,,NaN,,
297,-7,,,NaN,NaN,-7,,NaN,95,88,NaN,-7,87
298,,,,NaN,NaN,,,NaN,,,NaN,,
299,-7,,,NaN,NaN,-7,,NaN,95,88,NaN,-7,87
300,,,,NaN,NaN,,,NaN,,,NaN,,
301,-7,,,NaN,NaN,-7,,NaN,95,84,NaN,-7,88
302,,,,NaN,NaN,,,NaN,,,NaN,,
303,-6,,,NaN,NaN,-6,,NaN,95,88,NaN,-6,88
304,,,,NaN,NaN,,,NaN,,,NaN,,
305,-6,,,NaN,NaN,-6,,NaN,95,87,NaN,-6,88
306,,,,NaN,NaN,,,NaN,,,NaN,,
307,-6,,,NaN,NaN,-6,,NaN,95,87,NaN,-6,88
308,,,,NaN,NaN,,,NaN,,,NaN,,
309,-6,,,NaN,NaN,-6,,NaN,95,87,NaN,-6,87
310,,,,NaN,NaN,,,NaN,,,NaN,,
311,-7,,,NaN,NaN,-7,,NaN,95,86,NaN,-7,87
312,,,,NaN,NaN,,,NaN,,,NaN,,
313,-7,,,NaN,NaN,-7,,NaN,94,86,NaN,-7,87
314,,,,NaN,NaN,,,NaN,,,NaN,,
315,-7,,,NaN,NaN,-7,,NaN,94,86,NaN,-7,87
316,,,,NaN,NaN,,,NaN,,,NaN,,
317,-7,,,NaN,NaN,-7,,NaN,94,86,NaN,-7,86
318,,,,NaN,NaN,,,NaN,,,NaN,,
319,-7,,,NaN,NaN,-7,,NaN,94,86,NaN,-7,87
320,,,,NaN,NaN,,,NaN,,,NaN,,
321,-7,,,NaN,NaN,-7,,NaN,94,87,NaN,-7,87
322,,,,NaN,NaN,,,NaN,,,NaN,,
323,-7,,,NaN,NaN,-7,,NaN,94,87,NaN,-7,88
324,,,,NaN,NaN,,,NaN,,,NaN,,
325,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,88
326,,,,NaN,NaN,,,NaN,,,NaN,,
327,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,89
328,,,,NaN,NaN,,,NaN,,,NaN,,
329,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,89
330,,,,NaN,NaN,,,NaN,,,NaN,,
331,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,89
332,,,,NaN,NaN,,,NaN,,,NaN,,
333,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,89
334,,,,NaN,NaN,,,NaN,,,NaN,,
335,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,90
336,,,,NaN,NaN,,,NaN,,,NaN,,
337,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,89
338,,,,NaN,NaN,,,NaN,,,NaN,,
339,-7,,,NaN,NaN,-7,,NaN,94,88,NaN,-7,89
340,,,,NaN,NaN,,,NaN,,,NaN,,
341,-7,,,NaN,NaN,-7,,NaN,95,88,NaN,-7,89
342,,,,NaN,NaN,,,NaN,,,NaN,,
343,-6,,,NaN,NaN,-6,,NaN,95,89,NaN,-6,89
344,,,,NaN,NaN,,,NaN,,,NaN,,
345,-6,,,NaN,NaN,-6,,NaN,94,89,NaN,-6,89
346,,,,NaN,NaN,,,NaN,,,NaN,,
347,-6,,,NaN,NaN,-6,,NaN,94,89,NaN,-6,89
348,,,,NaN,NaN,,,NaN,,,NaN,,
349,-6,,,NaN,NaN,-6,,NaN,94,93,NaN,-6,89
350,,,,NaN,NaN,,,NaN,,,NaN,,
351,-7,,,NaN,NaN,-7,,NaN,94,89,NaN,-7,89
352,,,,NaN,NaN,,,NaN,,,NaN,,
353,-9,,,NaN,NaN,-4,,NaN,94,90,NaN,-7,89
354,,,,NaN,NaN,,,NaN,,,NaN,,
355,-9,,,NaN,NaN,-5,,NaN,94,89,NaN,-7,89
356,,,,NaN,NaN,,,NaN,,,NaN,,
357,-9,,,NaN,NaN,-6,,NaN,94,89,NaN,-7,90
358,,,,NaN,NaN,,,NaN,,,NaN,,
359,-9,,,NaN,NaN,-5,,NaN,94,89,NaN,-7,89
360,,,,NaN,NaN,,,NaN,,,NaN,,
361,-9,,,NaN,NaN,-5,,NaN,94,89,NaN,-7,89
362,,,,NaN,NaN,,,NaN,,,NaN,,
363,-9,,,NaN,NaN,-5,,NaN,94,89,NaN,-7,88
364,,,,NaN,NaN,,,NaN,,,NaN,,
365,-9,,,NaN,NaN,-6,,NaN,94,89,NaN,-7,88
366,,,,NaN,NaN,,,NaN,,,NaN,,
367,-9,,,NaN,NaN,-5,,NaN,94,93,NaN,-7,88
368,,,,NaN,NaN,,,NaN,,,NaN,,
369,,,,NaN,NaN,,,NaN,94,85,NaN,-7,88
370,,,,NaN,NaN,,,NaN,,,NaN,,
371,,,,NaN,NaN,,,NaN,94,89,NaN,-7,88
372,,,,NaN,NaN,,,NaN,,,NaN,,
373,,,,NaN,NaN,,,NaN,94,89,NaN,-7,89
374,,,,NaN,NaN,,,NaN,,,NaN,,
375,,,,NaN,NaN,,,NaN,94,88,NaN,-6,89
376,,,,NaN,NaN,,,NaN,,,NaN,,
377,,,,NaN,NaN,,,NaN,94,88,NaN,-6,89
378,,,,NaN,NaN,,,NaN,,,NaN,,
379,,,,NaN,NaN,,,NaN,95,87,NaN,-6,87
380,,,,NaN,NaN,,,NaN,,,NaN,,
381,-9,,,NaN,NaN,-5,,NaN,95,87,NaN,-7,87
382,,,,NaN,NaN,,,NaN,,,NaN,,
383,-9,,,NaN,NaN,-4,,NaN,95,87,NaN,-7,87
384,,,,NaN,NaN,,,NaN,,,NaN,,
385,-18,,,NaN,NaN,-4,,NaN,95,87,NaN,-8,88
386,,,,NaN,NaN,,,NaN,,,NaN,,
387,,,,NaN,NaN,,,NaN,95,87,NaN,-7,88
388,,,,NaN,NaN,,,NaN,,,NaN,,
389,,,,NaN,NaN,,,NaN,95,87,NaN,-6,87
390,,,,NaN,NaN,,,NaN,,,NaN,,
391,,,,NaN,NaN,,,NaN,95,87,NaN,-6,88
392,,,,NaN,NaN,,,NaN,,,NaN,,
393,,,,NaN,NaN,,,NaN,95,87,NaN,-6,88
394,,,,NaN,NaN,,,NaN,,,NaN,,
395,,,,NaN,NaN,,,NaN,95,87,NaN,-7,88
396,,,,NaN,NaN,,,NaN,,,NaN,,
397,,,,NaN,NaN,,,NaN,95,88,NaN,-7,88
398,,,,NaN,NaN,,,NaN,,,NaN,,
399,-23,,,NaN,NaN,9,,NaN,95,88,NaN,-7,88
400,,,,NaN,NaN,,,NaN,,,NaN,,
401,-51,,,NaN,NaN,40,,NaN,95,100,NaN,-8,87
402,,,,NaN,NaN,,,NaN,,,NaN,,
403,-51,,,NaN,NaN,40,,NaN,95,100,NaN,-8,87
404,,,,NaN,NaN,,,NaN,,,NaN,,
405,-29,,,NaN,NaN,12,,NaN,95,89,NaN,-8,87
406,,,,NaN,NaN,,,NaN,,,NaN,,
407,,,,NaN,NaN,,0,NaN,94,88,NaN,1,88
408,,,,NaN,NaN,,,NaN,,,NaN,,
409,,,,NaN,NaN,,0,NaN,94,88,NaN,0,88
410,,,,NaN,NaN,,,NaN,,,NaN,,
411,,,,NaN,NaN,,0,NaN,94,88,NaN,0,88
412,,,,NaN,NaN,,,NaN,,,NaN,,
413,,,,NaN,NaN,,0,NaN,94,92,NaN,,88
414,,,,NaN,NaN,,,NaN,,,NaN,,
415,,,,NaN,NaN,,1,NaN,94,87,NaN,,87
416,,,,NaN,NaN,,,NaN,,,NaN,,
417,,,,NaN,NaN,,1,NaN,94,87,NaN,,87
418,,,,NaN,NaN,,,NaN,,,NaN,,
419,,,,NaN,NaN,,-3,NaN,95,83,NaN,,87
420,,,,NaN,NaN,,,NaN,,,NaN,,
421,,,,NaN,NaN,,-3,NaN,95,87,NaN,,87
422,,,,NaN,NaN,,,NaN,,,NaN,,
423,,,,NaN,NaN,,-3,NaN,95,92,NaN,,88
424,,,,NaN,NaN,,,NaN,,,NaN,,
425,0,,,NaN,NaN,0,0,NaN,95,87,NaN,0,88
426,,,,NaN,NaN,,,NaN,,,NaN,,
427,0,,,NaN,NaN,0,0,NaN,95,88,NaN,0,88
428,,,,NaN,NaN,,,NaN,,,NaN,,
429,0,,,NaN,NaN,0,0,NaN,95,89,NaN,0,88
430,,,,NaN,NaN,,,NaN,,,NaN,,
431,0,,,NaN,NaN,0,0,NaN,94,89,NaN,0,88
432,,,,NaN,NaN,,,NaN,,,NaN,,
433,-5,,,NaN,NaN,-5,-8,NaN,94,89,NaN,-5,89
434,,,,NaN,NaN,,,NaN,,,NaN,,
435,-5,,,NaN,NaN,-5,-8,NaN,94,89,NaN,-5,89
436,,,,NaN,NaN,,,NaN,,,NaN,,
437,-5,,,NaN,NaN,-5,-10,NaN,94,90,NaN,-5,89
438,,,,NaN,NaN,,,NaN,,,NaN,,
439,-5,,,NaN,NaN,-5,-10,NaN,94,89,NaN,-5,90
440,,,,NaN,NaN,,,NaN,,,NaN,,
441,-6,,,NaN,NaN,-6,-10,NaN,95,89,NaN,-6,89
442,,,,NaN,NaN,,,NaN,,,NaN,,
443,-6,,,NaN,NaN,-6,-10,NaN,95,89,NaN,-6,89
444,,,,NaN,NaN,,,NaN,,,NaN,,
