time,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/HR,SNUADC/ART,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/CVP,SNUADC/ECG_V5,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/ART_SBP
0,,,,,,NaN,NaN,,,NaN,,NaN,
1,,,,,,-491.88665771484375,-495.6260070800781,,,-4.9562602043151855,,-4.9562602043151855,
2,99,66,-12,,66,-491.88470458984375,-495.6240234375,-12,-16,-4.956240177154541,,-4.956240177154541,-12
3,,,,,,NaN,NaN,,,NaN,,NaN,
4,99,65,-12,,65,NaN,NaN,-12,-16,NaN,,NaN,-12
5,,,,,,NaN,NaN,,,NaN,,NaN,
6,100,64,-12,,63,NaN,NaN,-12,-16,NaN,,NaN,-12
7,,,,,,NaN,NaN,,,NaN,,NaN,
8,100,64,-12,,62,NaN,NaN,-12,-16,NaN,,NaN,-12
9,,,,,,NaN,NaN,,,NaN,,NaN,
10,100,62,-12,,61,NaN,NaN,-12,-16,NaN,,NaN,-12
11,,,,,,NaN,NaN,,,NaN,,NaN,
12,100,62,-12,,61,NaN,NaN,-12,-16,NaN,,NaN,-12
13,,,,,,NaN,NaN,,,NaN,,NaN,
14,100,62,-15,,60,NaN,NaN,-8,-15,NaN,,NaN,15
15,,,,,,NaN,NaN,,,NaN,,NaN,
16,99,63,1,,59,NaN,NaN,3,-15,NaN,,NaN,13
17,,,,,,NaN,NaN,,,NaN,,NaN,
18,100,62,-26,,59,NaN,NaN,3,-15,NaN,,NaN,25
19,,,,,,NaN,NaN,,,NaN,,NaN,
20,100,60,-27,,59,NaN,NaN,0,-15,NaN,,NaN,22
21,,,,,,NaN,NaN,,,NaN,,NaN,
22,100,60,,,58,NaN,NaN,-20,-16,NaN,,NaN,
23,,,,,,NaN,NaN,,,NaN,,NaN,
24,100,59,,,56,NaN,NaN,-36,-16,NaN,,NaN,
25,,,,,,NaN,NaN,,,NaN,,NaN,
26,100,56,,,56,NaN,NaN,-27,-16,NaN,,NaN,
27,,,,,,NaN,NaN,,,NaN,,NaN,
28,100,57,,,56,NaN,NaN,-21,-16,NaN,,NaN,
29,,,,,,NaN,NaN,,,NaN,,NaN,
30,100,57,,,55,NaN,NaN,-21,-15,NaN,,NaN,
31,,,,,,NaN,NaN,,,NaN,,NaN,
32,100,56,,,55,NaN,NaN,-10,-15,NaN,,NaN,
33,,,,,,NaN,NaN,,,NaN,,NaN,
34,100,56,-10,,56,NaN,NaN,-10,-14,NaN,,NaN,-10
35,,,,,,NaN,NaN,,,NaN,,NaN,
36,100,56,-8,,56,NaN,NaN,-8,-14,NaN,,NaN,-8
37,,,,,,NaN,NaN,,,NaN,,NaN,
38,100,57,-8,,56,NaN,NaN,-8,-14,NaN,,NaN,-8
39,,,,,,NaN,NaN,,,NaN,,NaN,
40,100,56,-11,,56,NaN,NaN,-11,-14,NaN,,NaN,-11
41,,,,,,NaN,NaN,,,NaN,,NaN,
42,100,57,-11,,57,NaN,NaN,-11,-14,NaN,,NaN,-11
43,,,,,,NaN,NaN,,,NaN,,NaN,
44,100,59,-11,,58,NaN,NaN,-11,-14,NaN,,NaN,-11
45,,,,,,NaN,NaN,,,NaN,,NaN,
46,100,59,-11,,60,NaN,NaN,-11,-14,NaN,,NaN,-11
47,,,,,,NaN,NaN,,,NaN,,NaN,
48,100,61,-11,,62,NaN,NaN,-11,-14,NaN,,NaN,-11
49,,,,,,NaN,NaN,,,NaN,,NaN,
50,100,62,-11,,62,NaN,NaN,-11,-14,NaN,,NaN,-11
51,,,,,,NaN,NaN,,,NaN,,NaN,
52,100,63,-11,,62,NaN,NaN,-11,-14,NaN,,NaN,-11
53,,,,,,NaN,NaN,,,NaN,,NaN,
54,100,63,-11,,63,NaN,NaN,-11,-14,NaN,,NaN,-11
55,,,,,,NaN,NaN,,,NaN,,NaN,
56,100,64,-10,,64,NaN,NaN,-10,-14,NaN,,NaN,-10
57,,,,,,NaN,NaN,,,NaN,,NaN,
58,100,64,-10,,65,NaN,NaN,-10,-14,NaN,,NaN,-10
59,,,,,,NaN,NaN,,,NaN,,NaN,
60,100,64,-10,,64,NaN,NaN,-10,-13,NaN,,NaN,-10
61,,,,,,NaN,NaN,,,NaN,,NaN,
62,100,64,-10,,63,NaN,NaN,-10,-13,NaN,,NaN,-10
63,,,,,,NaN,NaN,,,NaN,,NaN,
64,100,64,-15,,62,NaN,NaN,-11,-13,NaN,,NaN,-11
65,,,,,,NaN,NaN,,,NaN,,NaN,
66,100,64,-15,,61,NaN,NaN,-11,-13,NaN,,NaN,-11
67,,,,,,NaN,NaN,,,NaN,,NaN,
68,100,63,-11,,62,NaN,NaN,-11,-13,NaN,,NaN,-11
69,,,,,,NaN,NaN,,,NaN,,NaN,
70,100,62,-11,,61,NaN,NaN,-11,-13,NaN,,NaN,-11
71,,,,,,NaN,NaN,,,NaN,,NaN,
72,100,63,-11,,64,NaN,NaN,-11,-13,NaN,,NaN,-11
73,,,,,,NaN,NaN,,,NaN,,NaN,
74,100,64,-11,,63,NaN,NaN,-11,-13,NaN,,NaN,-11
75,,,,,,NaN,NaN,,,NaN,,NaN,
76,100,63,-11,,63,NaN,NaN,-11,-13,NaN,,NaN,-11
77,,,,,,NaN,NaN,,,NaN,,NaN,
78,100,64,-11,,63,NaN,NaN,-11,-13,NaN,,NaN,-11
79,,,,,,NaN,NaN,,,NaN,,NaN,
80,100,63,-11,,62,NaN,NaN,-11,-13,NaN,,NaN,-11
81,,,,,,NaN,NaN,,,NaN,,NaN,
82,100,62,-11,,62,NaN,NaN,-11,-13,NaN,,NaN,-11
83,,,,,,NaN,NaN,,,NaN,,NaN,
84,100,63,-11,,61,NaN,NaN,-11,-13,NaN,,NaN,-11
85,,,,,,NaN,NaN,,,NaN,,NaN,
86,100,62,-11,,61,NaN,NaN,-11,-12,NaN,,NaN,-11
87,,,,,,NaN,NaN,,,NaN,,NaN,
88,100,61,-10,,60,NaN,NaN,-10,-12,NaN,,NaN,-10
89,,,,,,NaN,NaN,,,NaN,,NaN,
90,100,60,-10,,59,NaN,NaN,-10,-12,NaN,,NaN,-10
91,,,,,,NaN,NaN,,,NaN,,NaN,
92,100,60,-10,,59,NaN,NaN,-10,-12,NaN,,NaN,-10
93,,,,,,NaN,NaN,,,NaN,,NaN,
94,100,59,-10,,58,NaN,NaN,-10,-12,NaN,,NaN,-10
95,,,,,,NaN,NaN,,,NaN,,NaN,
96,100,58,-10,,58,NaN,NaN,-10,-12,NaN,,NaN,-10
97,,,,,,NaN,NaN,,,NaN,,NaN,
98,100,58,-15,,58,NaN,NaN,-11,-12,NaN,,NaN,-7
99,,,,,,NaN,NaN,,,NaN,,NaN,
100,100,58,-15,,58,NaN,NaN,-12,-12,NaN,,NaN,-10
101,,,,,,NaN,NaN,,,NaN,,NaN,
102,100,59,-45,,58,NaN,NaN,16,-12,NaN,,NaN,89
103,,,,,,NaN,NaN,,,NaN,,NaN,
104,100,59,-45,,60,NaN,NaN,16,-12,NaN,,NaN,89
105,,,,,,NaN,NaN,,,NaN,,NaN,
106,100,60,-11,,61,NaN,NaN,-9,-12,NaN,,NaN,-8
107,,,,,,NaN,NaN,,,NaN,,NaN,
108,100,62,-11,,62,NaN,NaN,-9,-12,NaN,,NaN,-8
109,,,,,,NaN,NaN,,,NaN,,NaN,
110,100,63,-9,,63,NaN,NaN,-9,-12,NaN,,NaN,-9
111,,,,,,NaN,NaN,,,NaN,,NaN,
112,100,64,-9,,63,NaN,NaN,-9,-12,NaN,,NaN,-9
113,,,,,,NaN,NaN,,,NaN,,NaN,
114,100,64,-8,,64,NaN,NaN,-8,-12,NaN,,NaN,-8
115,,,,,,NaN,NaN,,,NaN,,NaN,
116,100,65,-8,,64,NaN,NaN,-8,-12,NaN,,NaN,-8
117,,,,,,NaN,NaN,,,NaN,,NaN,
118,100,65,-9,,63,NaN,NaN,-9,-12,NaN,,NaN,-9
119,,,,,,NaN,NaN,,,NaN,,NaN,
120,100,65,-9,,63,NaN,NaN,-9,-12,NaN,,NaN,-9
121,,,,,,NaN,NaN,,,NaN,,NaN,
122,100,65,-12,,63,NaN,NaN,-9,-12,NaN,,NaN,-9
123,,,,,,NaN,NaN,,,NaN,,NaN,
124,100,65,-12,,64,NaN,NaN,-9,-12,NaN,,NaN,-9
125,,,,,,NaN,NaN,,,NaN,,NaN,
126,100,65,-11,,64,NaN,NaN,-11,-12,NaN,,NaN,-11
127,,,,,,NaN,NaN,,,NaN,,NaN,
128,100,65,-12,,63,NaN,NaN,-11,-12,NaN,,NaN,-10
129,,,,,,NaN,NaN,,,NaN,,NaN,
130,100,64,-12,,62,NaN,NaN,-11,-12,NaN,,NaN,-10
131,,,,,,NaN,NaN,,,NaN,,NaN,
132,100,64,-30,,60,NaN,NaN,-11,-12,NaN,,NaN,0
133,,,,,,NaN,NaN,,,NaN,,NaN,
134,100,62,-26,,58,NaN,NaN,-11,-12,NaN,,NaN,8
135,,,,,,NaN,NaN,,,NaN,,NaN,
136,100,61,-31,,57,NaN,NaN,-9,-12,NaN,,NaN,29
137,,,,,,NaN,NaN,,,NaN,,NaN,
138,100,60,-14,,56,NaN,NaN,-5,-12,NaN,,NaN,14
139,,,,,,NaN,NaN,,,NaN,,NaN,
140,100,58,-4,,54,NaN,NaN,-2,-12,NaN,,NaN,8
141,,,,,,NaN,NaN,,,NaN,,NaN,
142,100,57,11,,54,NaN,NaN,12,-12,NaN,,NaN,30
143,,,,,,NaN,NaN,,,NaN,,NaN,
144,100,56,11,,54,NaN,NaN,12,-12,NaN,,NaN,30
145,,,,,,NaN,NaN,,,NaN,,NaN,
146,100,56,50,,54,NaN,NaN,50,-12,NaN,,NaN,50
147,,,,,,NaN,NaN,,,NaN,,NaN,
148,100,56,61,,54,NaN,NaN,55,-12,NaN,,NaN,98
149,,,,,,NaN,NaN,,,NaN,,NaN,
150,100,55,60,,54,NaN,NaN,65,-12,NaN,,NaN,98
151,,,,,,NaN,NaN,,,NaN,,NaN,
152,100,54,59,,54,NaN,NaN,68,-12,NaN,,NaN,100
153,,,,,,NaN,NaN,,,NaN,,NaN,
154,100,54,58,,54,NaN,NaN,73,-12,NaN,,NaN,103
155,,,,,,NaN,NaN,,,NaN,,NaN,
156,100,54,60,,54,NaN,NaN,75,-12,NaN,,NaN,103
157,,,,,,NaN,NaN,,,NaN,,NaN,
158,100,53,60,,54,NaN,NaN,76,-12,NaN,,NaN,103
159,,,,,,NaN,NaN,,,NaN,,NaN,
160,100,52,60,,20,NaN,NaN,77,-12,NaN,,NaN,103
161,,,,,,NaN,NaN,,,NaN,,NaN,
162,100,52,57,,0,NaN,NaN,78,-12,NaN,,NaN,106
163,,,,,,NaN,NaN,,,NaN,,NaN,
164,100,51,58,,0,NaN,NaN,78,-12,NaN,,NaN,106
165,,,,,,NaN,NaN,,,NaN,,NaN,
166,100,51,58,,0,NaN,NaN,77,-12,NaN,,NaN,102
167,,,,,,NaN,NaN,,,NaN,,NaN,
168,100,51,54,,0,NaN,NaN,76,-12,NaN,,NaN,100
169,,,,,,NaN,NaN,,,NaN,,NaN,
170,100,50,55,,0,NaN,NaN,75,-12,NaN,,NaN,98
171,,,,,,NaN,NaN,,,NaN,,NaN,
172,100,50,54,,0,NaN,NaN,74,-12,NaN,,NaN,97
173,,,,,,NaN,NaN,,,NaN,,NaN,
174,100,50,54,,0,NaN,NaN,73,-12,NaN,,NaN,98
175,,,,,,NaN,NaN,,,NaN,,NaN,
176,100,50,54,,0,NaN,NaN,73,-11,NaN,,NaN,97
177,,,,,,NaN,NaN,,,NaN,,NaN,
178,100,50,50,,0,NaN,NaN,72,-11,NaN,,NaN,96
179,,,,,,NaN,NaN,,,NaN,,NaN,
180,100,50,53,,0,NaN,NaN,71,-12,NaN,,NaN,96
181,,,,,,NaN,NaN,,,NaN,,NaN,
182,100,50,54,,0,NaN,NaN,71,-12,NaN,,NaN,96
183,,,,,,NaN,NaN,,,NaN,,NaN,
184,100,50,54,,0,NaN,NaN,76,-11,NaN,,NaN,117
185,,,,,,NaN,NaN,,,NaN,,NaN,
186,100,50,49,,0,NaN,NaN,72,-11,NaN,,NaN,102
187,,,,,,NaN,NaN,,,NaN,,NaN,
188,100,50,51,,0,NaN,NaN,71,-11,NaN,,NaN,99
189,,,,,,NaN,NaN,,,NaN,,NaN,
190,100,50,50,,0,NaN,NaN,70,-11,NaN,,NaN,94
191,,,,,,NaN,NaN,,,NaN,,NaN,
192,100,50,50,,0,NaN,NaN,70,-11,NaN,,NaN,94
193,,,,,,NaN,NaN,,,NaN,,NaN,
194,100,50,52,,0,NaN,NaN,70,-11,NaN,,NaN,91
195,,,,,,NaN,NaN,,,NaN,,NaN,
196,100,50,53,,0,NaN,NaN,70,-11,NaN,,NaN,93
197,,,,,,NaN,NaN,,,NaN,,NaN,
198,100,50,54,,0,NaN,NaN,69,-11,NaN,,NaN,93
199,,,,,,NaN,NaN,,,NaN,,NaN,
200,100,50,53,,0,NaN,NaN,69,-11,NaN,,NaN,93
201,,,,,,NaN,NaN,,,NaN,,NaN,
202,100,50,54,,0,NaN,NaN,69,-11,NaN,,NaN,93
203,,,,,,NaN,NaN,,,NaN,,NaN,
204,100,50,54,,0,NaN,NaN,69,-11,NaN,,NaN,92
205,,,,,,NaN,NaN,,,NaN,,NaN,
206,100,50,53,,0,NaN,NaN,69,-11,NaN,,NaN,92
207,,,,,,NaN,NaN,,,NaN,,NaN,
208,100,50,54,,0,NaN,NaN,69,-11,NaN,,NaN,92
209,,,,,,NaN,NaN,,,NaN,,NaN,
210,100,50,53,,0,NaN,NaN,69,-12,NaN,,NaN,93
211,,,,,,NaN,NaN,,,NaN,,NaN,
212,100,50,53,,0,NaN,NaN,69,-12,NaN,,NaN,92
213,,,,,,NaN,NaN,,,NaN,,NaN,
214,100,50,53,,0,NaN,NaN,69,-12,NaN,,NaN,91
215,,,,,,NaN,NaN,,,NaN,,NaN,
216,100,50,53,,0,NaN,NaN,68,-12,NaN,,NaN,90
217,,,,,,NaN,NaN,,,NaN,,NaN,
218,100,50,52,,53,NaN,NaN,68,-12,NaN,,NaN,90
219,,,,,,NaN,NaN,,,NaN,,NaN,
220,100,50,38,,48,NaN,NaN,61,-12,NaN,,NaN,78
221,,,,,,NaN,NaN,,,NaN,,NaN,
222,100,50,48,,49,NaN,NaN,63,-12,NaN,,NaN,87
223,,,,,,NaN,NaN,,,NaN,,NaN,
224,100,50,49,,49,NaN,NaN,64,-12,NaN,,NaN,88
225,,,,,,NaN,NaN,,,NaN,,NaN,
226,100,50,50,,49,NaN,NaN,64,-12,NaN,,NaN,88
227,,,,,,NaN,NaN,,,NaN,,NaN,
228,100,50,50,,49,NaN,NaN,65,-12,NaN,,NaN,89
229,,,,,,NaN,NaN,,,NaN,,NaN,
230,100,50,50,,51,NaN,NaN,65,-12,NaN,,NaN,89
231,,,,,,NaN,NaN,,,NaN,,NaN,
232,100,50,50,,52,NaN,NaN,65,-12,NaN,,NaN,89
233,,,,,,NaN,NaN,,,NaN,,NaN,
234,100,51,51,,52,NaN,NaN,65,-12,NaN,,NaN,89
235,,,,,,NaN,NaN,,,NaN,,NaN,
236,100,51,52,,53,NaN,NaN,66,-12,NaN,,NaN,89
237,,,,,,NaN,NaN,,,NaN,,NaN,
238,100,52,51,,53,NaN,NaN,66,-12,NaN,42,NaN,89
239,,,,,,NaN,NaN,,,NaN,,NaN,
240,100,52,51,,52,NaN,NaN,66,-12,NaN,42,NaN,90
241,,,,,,NaN,NaN,,,NaN,,NaN,
242,100,52,52,,52,NaN,NaN,66,-12,NaN,42,NaN,90
243,,,,,,NaN,NaN,,,NaN,,NaN,
244,100,53,52,,52,NaN,NaN,67,-12,NaN,42,NaN,91
245,,,,,,NaN,NaN,,,NaN,,NaN,
246,100,53,52,6,52,NaN,NaN,67,-12,NaN,40,NaN,91
247,,,,,,NaN,NaN,,,NaN,,NaN,
248,100,53,53,6,53,NaN,NaN,67,-11,NaN,40,NaN,91
249,,,,,,NaN,NaN,,,NaN,,NaN,
250,100,53,53,6,53,NaN,NaN,68,-11,NaN,40,NaN,92
251,,,,,,NaN,NaN,,,NaN,,NaN,
252,100,54,52,6,53,NaN,NaN,67,-11,NaN,39,NaN,92
253,,,,,,NaN,NaN,,,NaN,,NaN,
254,100,54,53,6,53,NaN,NaN,68,-11,NaN,39,NaN,92
255,,,,,,NaN,NaN,,,NaN,,NaN,
256,100,54,52,6,53,NaN,NaN,67,-11,NaN,39,NaN,92
257,,,,,,NaN,NaN,,,NaN,,NaN,
258,100,54,52,6,53,NaN,NaN,67,-11,NaN,39,NaN,91
259,,,,,,NaN,NaN,,,NaN,,NaN,
260,100,54,52,6,53,NaN,NaN,67,-11,NaN,38,NaN,91
261,,,,,,NaN,NaN,,,NaN,,NaN,
262,100,54,52,6,53,NaN,NaN,67,-11,NaN,38,NaN,93
263,,,,,,NaN,NaN,,,NaN,,NaN,
264,100,54,54,6,53,NaN,NaN,68,-11,NaN,38,NaN,92
265,,,,,,NaN,NaN,,,NaN,,NaN,
266,100,53,54,9,53,NaN,NaN,68,-11,NaN,38,NaN,93
267,,,,,,NaN,NaN,,,NaN,,NaN,
268,100,54,53,9,53,NaN,NaN,68,-11,NaN,38,NaN,92
269,,,,,,NaN,NaN,,,NaN,,NaN,
270,100,54,53,9,53,NaN,NaN,67,-11,NaN,38,NaN,89
271,,,,,,NaN,NaN,,,NaN,,NaN,
272,100,54,50,9,53,NaN,NaN,66,-11,NaN,38,NaN,87
273,,,,,,NaN,NaN,,,NaN,,NaN,
274,100,54,50,11,53,NaN,NaN,65,-11,NaN,39,NaN,86
275,,,,,,NaN,NaN,,,NaN,,NaN,
276,100,54,51,11,53,NaN,NaN,65,-11,NaN,39,NaN,85
277,,,,,,NaN,NaN,,,NaN,,NaN,
278,100,54,51,11,54,NaN,NaN,64,-11,NaN,39,NaN,85
279,,,,,,NaN,NaN,,,NaN,,NaN,
280,100,55,51,12,54,NaN,NaN,64,-11,NaN,38,NaN,86
281,,,,,,NaN,NaN,,,NaN,,NaN,
282,100,55,51,12,54,NaN,NaN,64,-11,NaN,38,NaN,85
283,,,,,,NaN,NaN,,,NaN,,NaN,
284,100,55,51,12,54,NaN,NaN,64,-11,NaN,38,NaN,85
285,,,,,,NaN,NaN,,,NaN,,NaN,
286,100,55,51,12,55,NaN,NaN,64,-11,NaN,38,NaN,85
287,,,,,,NaN,NaN,,,NaN,,NaN,
288,100,55,51,12,55,NaN,NaN,64,-11,NaN,38,NaN,85
289,,,,,,NaN,NaN,,,NaN,,NaN,
290,100,55,51,12,55,NaN,NaN,64,-11,NaN,38,NaN,85
291,,,,,,NaN,NaN,,,NaN,,NaN,
292,100,55,51,12,54,NaN,NaN,64,-11,NaN,38,NaN,84
293,,,,,,NaN,NaN,,,NaN,,NaN,
294,100,55,52,12,54,NaN,NaN,64,-11,NaN,39,NaN,84
295,,,,,,NaN,NaN,,,NaN,,NaN,
296,100,55,52,12,54,NaN,NaN,64,-11,NaN,39,NaN,85
297,,,,,,NaN,NaN,,,NaN,,NaN,
298,100,55,51,12,54,NaN,NaN,64,-11,NaN,39,NaN,84
299,,,,,,NaN,NaN,,,NaN,,NaN,
300,100,55,51,12,54,NaN,NaN,64,-11,NaN,39,NaN,85
301,,,,,,NaN,NaN,,,NaN,,NaN,
302,100,55,48,12,54,NaN,NaN,64,-11,NaN,39,NaN,84
303,,,,,,NaN,NaN,,,NaN,,NaN,
304,100,55,50,12,54,NaN,NaN,64,-10,NaN,39,NaN,85
305,,,,,,NaN,NaN,,,NaN,,NaN,
306,100,55,51,12,54,NaN,NaN,64,-10,NaN,39,NaN,85
307,,,,,,NaN,NaN,,,NaN,,NaN,
308,100,55,51,12,54,NaN,NaN,64,-11,NaN,39,NaN,84
309,,,,,,NaN,NaN,,,NaN,,NaN,
310,100,55,51,12,54,NaN,NaN,64,-11,NaN,39,NaN,83
311,,,,,,NaN,NaN,,,NaN,,NaN,
312,100,55,51,12,54,NaN,NaN,64,-10,NaN,39,NaN,84
313,,,,,,NaN,NaN,,,NaN,,NaN,
314,100,55,51,12,55,NaN,NaN,63,-10,NaN,38,NaN,83
315,,,,,,NaN,NaN,,,NaN,,NaN,
316,100,55,49,12,54,NaN,NaN,63,-10,NaN,38,NaN,85
317,,,,,,NaN,NaN,,,NaN,,NaN,
318,100,55,50,12,54,NaN,NaN,63,-10,NaN,38,NaN,84
319,,,,,,NaN,NaN,,,NaN,,NaN,
320,100,55,51,12,54,NaN,NaN,63,-10,NaN,38,NaN,85
321,,,,,,NaN,NaN,,,NaN,,NaN,
322,100,55,51,12,54,NaN,NaN,63,-10,NaN,38,NaN,83
323,,,,,,NaN,NaN,,,NaN,,NaN,
324,100,55,51,12,55,NaN,NaN,63,-10,NaN,38,NaN,83
325,,,,,,NaN,NaN,,,NaN,,NaN,
326,100,55,50,12,55,NaN,NaN,63,-10,NaN,38,NaN,83
327,,,,,,NaN,NaN,,,NaN,,NaN,
328,100,55,51,12,55,NaN,NaN,63,-9,NaN,38,NaN,82
329,,,,,,NaN,NaN,,,NaN,,NaN,
330,100,56,51,12,55,NaN,NaN,63,-9,NaN,38,NaN,83
331,,,,,,NaN,NaN,,,NaN,,NaN,
332,100,56,50,12,55,NaN,NaN,62,-9,NaN,38,NaN,84
333,,,,,,NaN,NaN,,,NaN,,NaN,
334,100,56,50,12,55,NaN,NaN,62,-9,NaN,38,NaN,85
335,,,,,,NaN,NaN,,,NaN,,NaN,
336,100,56,49,12,55,NaN,NaN,62,-9,NaN,38,NaN,85
337,,,,,,NaN,NaN,,,NaN,,NaN,
338,100,56,49,12,55,NaN,NaN,62,-9,NaN,38,NaN,84
339,,,,,,NaN,NaN,,,NaN,,NaN,
340,100,56,50,12,55,NaN,NaN,62,-9,NaN,38,NaN,85
341,,,,,,NaN,NaN,,,NaN,,NaN,
342,100,56,49,12,55,NaN,NaN,62,-9,NaN,38,NaN,84
343,,,,,,NaN,NaN,,,NaN,,NaN,
344,100,56,50,12,55,NaN,NaN,62,-9,NaN,38,NaN,85
345,,,,,,NaN,NaN,,,NaN,,NaN,
346,100,55,49,12,55,NaN,NaN,62,-9,NaN,38,NaN,85
347,,,,,,NaN,NaN,,,NaN,,NaN,
348,100,55,49,12,55,NaN,NaN,62,-9,NaN,38,NaN,85
349,,,,,,NaN,NaN,,,NaN,,NaN,
350,100,56,50,12,55,NaN,NaN,62,-9,NaN,38,NaN,86
351,,,,,,NaN,NaN,,,NaN,,NaN,
352,100,55,50,12,55,NaN,NaN,62,-9,NaN,38,NaN,85
353,,,,,,NaN,NaN,,,NaN,,NaN,
354,100,56,51,12,55,NaN,NaN,62,-9,NaN,38,NaN,85
355,,,,,,NaN,NaN,,,NaN,,NaN,
356,100,56,51,12,55,NaN,NaN,63,-9,NaN,38,NaN,86
357,,,,,,NaN,NaN,,,NaN,,NaN,
358,100,56,51,12,55,NaN,NaN,63,-8,NaN,38,NaN,86
359,,,,,,NaN,NaN,,,NaN,,NaN,
360,100,56,51,12,55,NaN,NaN,63,-8,NaN,38,NaN,88
361,,,,,,NaN,NaN,,,NaN,,NaN,
362,100,56,50,12,55,NaN,NaN,63,-8,NaN,38,NaN,87
363,,,,,,NaN,NaN,,,NaN,,NaN,
364,100,56,50,12,55,NaN,NaN,63,-8,NaN,38,NaN,87
365,,,,,,NaN,NaN,,,NaN,,NaN,
366,100,56,49,12,56,NaN,NaN,62,-8,NaN,38,NaN,85
367,,,,,,NaN,NaN,,,NaN,,NaN,
368,100,56,49,12,75,NaN,NaN,62,-8,NaN,38,NaN,85
369,,,,,,NaN,NaN,,,NaN,,NaN,
370,100,57,53,12,75,NaN,NaN,65,-8,NaN,38,NaN,86
371,,,,,,NaN,NaN,,,NaN,,NaN,
372,100,57,48,12,75,NaN,NaN,63,-8,NaN,38,NaN,80
373,,,,,,NaN,NaN,,,NaN,,NaN,
374,100,57,45,12,93,NaN,NaN,61,-8,NaN,38,NaN,74
375,,,,,,NaN,NaN,,,NaN,,NaN,
376,100,58,39,12,93,NaN,NaN,53,-8,NaN,38,NaN,69
377,,,,,,NaN,NaN,,,NaN,,NaN,
378,100,59,46,12,84,NaN,NaN,54,-8,NaN,38,NaN,65
379,,,,,,NaN,NaN,,,NaN,,NaN,
380,100,59,44,12,68,NaN,NaN,54,-8,NaN,38,NaN,66
381,,,,,,NaN,NaN,,,NaN,,NaN,
382,100,60,45,12,63,NaN,NaN,56,-8,NaN,38,NaN,73
383,,,,,,NaN,NaN,,,NaN,,NaN,
384,100,60,49,12,61,NaN,NaN,57,-8,NaN,38,NaN,71
385,,,,,,NaN,NaN,,,NaN,,NaN,
386,100,61,48,12,62,NaN,NaN,58,-8,NaN,38,NaN,72
387,,,,,,NaN,NaN,,,NaN,,NaN,
388,100,61,49,12,62,NaN,NaN,59,-8,NaN,38,NaN,77
389,,,,,,NaN,NaN,,,NaN,,NaN,
390,100,62,50,12,62,NaN,NaN,61,-8,NaN,39,NaN,81
391,,,,,,NaN,NaN,,,NaN,,NaN,
392,100,63,50,12,62,NaN,NaN,62,-8,NaN,39,NaN,84
393,,,,,,NaN,NaN,,,NaN,,NaN,
394,100,63,51,12,63,NaN,NaN,63,-8,NaN,39,NaN,87
395,,,,,,NaN,NaN,,,NaN,,NaN,
396,100,63,51,12,63,NaN,NaN,64,-8,NaN,39,NaN,88
397,,,,,,NaN,NaN,,,NaN,,NaN,
398,100,63,52,12,63,NaN,NaN,64,-7,NaN,39,NaN,88
399,,,,,,NaN,NaN,,,NaN,,NaN,
400,100,63,52,12,63,NaN,NaN,65,-7,NaN,39,NaN,90
401,,,,,,NaN,NaN,,,NaN,,NaN,
402,100,63,52,12,62,NaN,NaN,66,-7,NaN,39,NaN,91
403,,,,,,NaN,NaN,,,NaN,,NaN,
404,100,62,,12,62,NaN,NaN,66,-7,NaN,39,NaN,
405,,,,,,NaN,NaN,,,NaN,,NaN,
406,100,62,,12,61,NaN,NaN,1,-7,NaN,39,NaN,
407,,,,,,NaN,NaN,,,NaN,,NaN,
408,100,62,,12,61,NaN,NaN,0,-7,NaN,39,NaN,
409,,,,,,NaN,NaN,,,NaN,,NaN,
410,100,61,,12,60,NaN,NaN,0,-7,NaN,39,NaN,
411,,,,,,NaN,NaN,,,NaN,,NaN,
412,100,61,,12,60,NaN,NaN,0,-7,NaN,39,NaN,
413,,,,,,NaN,NaN,,,NaN,,NaN,
414,100,60,,12,59,NaN,NaN,0,-7,NaN,39,NaN,
415,,,,,,NaN,NaN,,,NaN,,NaN,
416,100,60,,12,59,NaN,NaN,5,-7,NaN,39,NaN,
417,,,,,,NaN,NaN,,,NaN,,NaN,
418,100,60,,12,59,NaN,NaN,33,-7,NaN,38,NaN,
419,,,,,,NaN,NaN,,,NaN,,NaN,
420,100,59,,12,58,NaN,NaN,50,-7,NaN,38,NaN,
421,,,,,,NaN,NaN,,,NaN,,NaN,
422,100,59,,12,58,NaN,NaN,60,-7,NaN,38,NaN,
423,,,,,,NaN,NaN,,,NaN,,NaN,
424,100,59,,12,58,NaN,NaN,65,-7,NaN,38,NaN,
425,,,,,,NaN,NaN,,,NaN,,NaN,
426,100,59,,12,58,NaN,NaN,69,-7,NaN,38,NaN,
427,,,,,,NaN,NaN,,,NaN,,NaN,
428,100,58,,12,58,NaN,NaN,70,-7,NaN,38,NaN,
429,,,,,,NaN,NaN,,,NaN,,NaN,
430,100,58,56,13,57,NaN,NaN,71,-7,NaN,37,NaN,105
431,,,,,,NaN,NaN,,,NaN,,NaN,
432,100,58,55,13,57,NaN,NaN,71,-7,NaN,37,NaN,105
433,,,,,,NaN,NaN,,,NaN,,NaN,
